18,19,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",55,"x:544,y:355,time:4;","startLoc:(41.826159475824284, -71.39896101520537),endLoc:(41.82654389187899, -71.39849431083678),zoom:18"
18,20,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",69,"x:457,y:423,time:14;","startLoc:(41.82654389187899, -71.39849431083678),endLoc:(41.8268265492702, -71.39820463226317),zoom:18"
18,21,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",53,"x:403,y:473,time:3;","startLoc:(41.8268265492702, -71.39820463226317),endLoc:(41.82688873372878, -71.39812416599273),zoom:18"
18,22,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",58,"x:388,y:484,time:3;","startLoc:(41.82688873372878, -71.39812416599273),endLoc:(41.826933958751646, -71.39807052181243),zoom:18"
18,23,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",16,"","startLoc:(41.826933958751646, -71.39807052181243),endLoc:(41.826956571251095, -71.39804906414031),zoom:18"
18,24,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",21,"","startLoc:(41.826956571251095, -71.39804906414031),endLoc:(41.82697918374259, -71.39801687763213),zoom:18"
18,25,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",21,"","startLoc:(41.82697918374259, -71.39801687763213),endLoc:(41.82700179622608, -71.39799541996001),zoom:18"
18,26,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",28,"x:388,y:484,time:27;","startLoc:(41.82700179622608, -71.39799541996001),endLoc:(41.8270300618192, -71.39796859786986),zoom:18"
18,27,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",21,"","startLoc:(41.8270300618192, -71.39796859786986),endLoc:(41.82704136805292, -71.39794714019774),zoom:18"
18,28,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",22,"","startLoc:(41.82704136805292, -71.39794714019774),endLoc:(41.82705267428466, -71.39793641136168),zoom:18"
18,29,"pan","Tue Feb 26 2013 21:15:22 GMT-0500 (EST)",22,"x:389,y:484,time:14;","startLoc:(41.82705267428466, -71.39793641136168),endLoc:(41.82706398051443, -71.39792568252562),zoom:18"
19,30,"zoom","Tue Feb 26 2013 21:15:26 GMT-0500 (EST)",652,"x:845,y:239,time:451;","loc:(41.8253, -71.39979249999999),oldZoom:11,newZoom:100"
19,31,"zoom","Tue Feb 26 2013 21:15:26 GMT-0500 (EST)",15,"","loc:(41.8253, -71.39979249999999),oldZoom:100,newZoom:20"
19,32,"pan","Tue Feb 26 2013 21:15:26 GMT-0500 (EST)",6,"","startLoc:(41.8253, -71.39979249999999),endLoc:(41.82530018453223, -71.39979249999999),zoom:20"
19,33,"zoom","Tue Feb 26 2013 21:15:26 GMT-0500 (EST)",2,"","loc:(41.82530018453223, -71.39979249999999),oldZoom:20,newZoom:15"
20,34,"zoom","Tue Feb 26 2013 21:18:26 GMT-0500 (EST)",667,"x:811,y:247,time:512;","loc:(41.8253, -71.39979249999999),oldZoom:11,newZoom:100"
20,35,"zoom","Tue Feb 26 2013 21:18:26 GMT-0500 (EST)",16,"","loc:(41.8253, -71.39979249999999),oldZoom:100,newZoom:20"
20,36,"pan","Tue Feb 26 2013 21:18:26 GMT-0500 (EST)",4,"","startLoc:(41.8253, -71.39979249999999),endLoc:(41.82530018453223, -71.39979249999999),zoom:20"
20,37,"zoom","Tue Feb 26 2013 21:18:26 GMT-0500 (EST)",2,"","loc:(41.82530018453223, -71.39979249999999),oldZoom:20,newZoom:15"
20,38,"zoom","Tue Feb 26 2013 21:18:33 GMT-0500 (EST)",6928,"x:811,y:247,time:1144;x:810,y:247,time:1157;x:805,y:247,time:1174;x:795,y:247,time:1191;x:787,y:247,time:1207;x:781,y:247,time:1225;x:775,y:247,time:1241;x:773,y:247,time:1259;x:771,y:247,time:1274;x:770,y:247,time:1308;x:769,y:247,time:1358;x:768,y:247,time:1375;x:764,y:247,time:1392;x:759,y:248,time:1408;x:753,y:251,time:1424;x:749,y:253,time:1441;x:746,y:254,time:1459;x:743,y:255,time:1475;x:741,y:255,time:1491;x:739,y:255,time:3411;x:737,y:259,time:3428;x:734,y:264,time:3444;x:732,y:268,time:3463;x:728,y:276,time:3478;x:726,y:280,time:3496;x:725,y:283,time:3511;x:724,y:285,time:3527;x:724,y:287,time:3544;x:723,y:288,time:3562;x:723,y:287,time:3745;x:723,y:285,time:3762;x:723,y:279,time:3778;x:723,y:271,time:3797;x:723,y:262,time:3812;x:723,y:252,time:3828;x:723,y:244,time:3845;x:723,y:236,time:3862;x:723,y:231,time:3879;x:723,y:227,time:3896;x:723,y:223,time:3915;x:723,y:221,time:3929;x:723,y:218,time:3945;x:722,y:217,time:3962;x:722,y:216,time:3996;x:722,y:217,time:4597;x:721,y:223,time:4613;x:719,y:232,time:4630;x:717,y:241,time:4647;x:716,y:248,time:4663;x:716,y:256,time:4680;x:715,y:261,time:4696;x:715,y:265,time:4714;x:715,y:267,time:4730;x:715,y:268,time:4746;x:716,y:268,time:4814;x:718,y:268,time:4830;x:719,y:268,time:4849;x:723,y:265,time:4864;x:727,y:262,time:4880;x:733,y:259,time:4899;x:738,y:255,time:4914;x:744,y:249,time:4933;x:749,y:245,time:4947;x:754,y:242,time:4965;x:758,y:240,time:4981;x:760,y:240,time:5499;x:765,y:240,time:5515;x:769,y:240,time:5531;x:774,y:240,time:5550;x:780,y:240,time:5566;x:785,y:240,time:5582;x:789,y:240,time:5599;x:792,y:240,time:5616;x:795,y:240,time:5633;x:798,y:239,time:5650;x:802,y:238,time:5665;x:804,y:237,time:5684;x:806,y:236,time:5698;x:807,y:236,time:5715;x:808,y:235,time:5732;x:808,y:234,time:5749;x:809,y:234,time:5782;x:808,y:234,time:5866;x:803,y:234,time:5883;x:794,y:234,time:5898;x:777,y:234,time:5915;x:758,y:237,time:5932;x:734,y:240,time:5949;x:710,y:242,time:5966;x:694,y:244,time:5982;x:677,y:244,time:5999;x:666,y:244,time:6015;x:661,y:243,time:6033;x:657,y:242,time:6234;x:638,y:236,time:6250;x:598,y:222,time:6267;x:548,y:205,time:6283;x:498,y:186,time:6301;x:469,y:175,time:6316;x:447,y:167,time:6336;x:429,y:161,time:6350;x:420,y:159,time:6366;x:414,y:157,time:6382;x:411,y:156,time:6400;x:409,y:156,time:6417;x:408,y:156,time:6433;x:407,y:156,time:6449;x:405,y:156,time:6467;x:402,y:156,time:6483;x:399,y:157,time:6500;x:396,y:158,time:6517;x:393,y:158,time:6533;x:390,y:159,time:6550;x:388,y:159,time:6567;x:385,y:159,time:6583;x:382,y:159,time:6600;x:380,y:159,time:6617;x:378,y:159,time:6633;x:376,y:159,time:6651;x:374,y:159,time:6667;x:372,y:159,time:6682;x:370,y:159,time:6699;x:368,y:159,time:6716;x:367,y:159,time:6733;x:366,y:159,time:6750;","loc:(41.82530018453223, -71.39979249999999),oldZoom:15,newZoom:16"
20,39,"zoom","Tue Feb 26 2013 21:18:34 GMT-0500 (EST)",898,"","loc:(41.82530018453223, -71.39979249999999),oldZoom:16,newZoom:17"
20,40,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",1162,"x:368,y:159,time:282;x:375,y:159,time:311;x:429,y:170,time:337;x:532,y:185,time:356;x:615,y:191,time:384;x:744,y:192,time:417;x:796,y:192,time:433;x:808,y:192,time:450;x:814,y:192,time:486;x:816,y:192,time:744;x:819,y:192,time:764;x:824,y:191,time:777;x:831,y:189,time:797;x:839,y:187,time:812;x:846,y:185,time:827;x:852,y:184,time:845;x:854,y:184,time:861;x:856,y:184,time:878;x:858,y:183,time:894;x:859,y:183,time:911;x:860,y:183,time:928;x:858,y:183,time:1144;","startLoc:(41.82530018453223, -71.39979249999999),endLoc:(41.825308179463015, -71.39972812698363),zoom:17"
20,41,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",20,"x:854,y:184,time:3;","startLoc:(41.825308179463015, -71.39972812698363),endLoc:(41.82532416932159, -71.39967448280333),zoom:17"
20,42,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",16,"x:849,y:186,time:2;","startLoc:(41.82532416932159, -71.39967448280333),endLoc:(41.825340159176164, -71.39965302513122),zoom:17"
20,43,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",20,"x:847,y:188,time:5;","startLoc:(41.825340159176164, -71.39965302513122),endLoc:(41.825356149026746, -71.39962083862304),zoom:17"
20,44,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",65,"x:844,y:190,time:4;","startLoc:(41.825356149026746, -71.39962083862304),endLoc:(41.82536414395054, -71.39958865211486),zoom:17"
20,45,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",49,"x:841,y:191,time:3;","startLoc:(41.82536414395054, -71.39958865211486),endLoc:(41.82541211347234, -71.39951355026244),zoom:17"
20,46,"pan","Tue Feb 26 2013 21:18:35 GMT-0500 (EST)",17,"x:834,y:197,time:3;","startLoc:(41.82541211347234, -71.39951355026244),endLoc:(41.82546008295819, -71.39942771957396),zoom:17"
20,47,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",36,"x:826,y:203,time:3;","startLoc:(41.82546008295819, -71.39942771957396),endLoc:(41.825508052408104, -71.39934188888549),zoom:17"
20,48,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",14,"x:818,y:209,time:2;","startLoc:(41.825508052408104, -71.39934188888549),endLoc:(41.82554802692222, -71.39929897354125),zoom:17"
20,49,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",20,"x:814,y:214,time:2;","startLoc:(41.82554802692222, -71.39929897354125),endLoc:(41.825627975875605, -71.39919168518065),zoom:17"
20,50,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",21,"x:804,y:224,time:3;","startLoc:(41.825627975875605, -71.39919168518065),endLoc:(41.825667950314866, -71.3991273121643),zoom:17"
20,51,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",20,"x:798,y:229,time:8;","startLoc:(41.825667950314866, -71.3991273121643),endLoc:(41.8256999298483, -71.39905221031188),zoom:17"
20,52,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",32,"x:791,y:233,time:4;","startLoc:(41.8256999298483, -71.39905221031188),endLoc:(41.82575589399337, -71.3989663796234),zoom:17"
20,53,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",45,"x:783,y:240,time:3;","startLoc:(41.82575589399337, -71.3989663796234),endLoc:(41.82581185808952, -71.39886982009887),zoom:17"
20,54,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",23,"x:774,y:247,time:4;","startLoc:(41.82581185808952, -71.39886982009887),endLoc:(41.82585982727584, -71.39879471824645),zoom:17"
20,55,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",17,"x:767,y:253,time:3;","startLoc:(41.82585982727584, -71.39879471824645),endLoc:(41.82589180671345, -71.39876253173827),zoom:17"
20,56,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",80,"x:764,y:257,time:2;","startLoc:(41.82589180671345, -71.39876253173827),endLoc:(41.825931780987986, -71.39870888755797),zoom:17"
20,57,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",22,"x:759,y:262,time:2;","startLoc:(41.825931780987986, -71.39870888755797),endLoc:(41.8260517036618, -71.3985694126892),zoom:17"
20,58,"pan","Tue Feb 26 2013 21:18:36 GMT-0500 (EST)",28,"x:746,y:277,time:3;","startLoc:(41.8260517036618, -71.3985694126892),endLoc:(41.82608368300356, -71.39853722618102),zoom:17"
